960863589476126723	sperm	Sperm Whaleなのにマ○コウクジラとはこれ如何に
961230377594400769	変態	@hideyoshi109 あなたも変態だ(´･ω･｀)
961230370342518785	変態	@midorixmh 出てきたら撮影させてください（立派な変態
961230362545332226	変態	@mobu_haruki あぁ…変態紳士目指すわ
961230361454723073	変態	玉森くんって首筋からデコルテ部分がすんごい綺麗だよね(変態臭くてごめん)
961230356123971584	変態	やっべ普通に変態ツイート見られた😊😊😊😊😊
961230353665945600	変態	@fpst_3322 のい様に殺されるなら 本望(´-ωก`)変態←
961230338511876096	変態	「かちんこちんのフランクフルトを部長に無理やり頬張らせていたのは見た。おい。とんでもないことを考える。この変態め」 #bot
961230338105032707	変態	@yui162_kwj 変態だと思ってたら本当に変態だった
961230333738823680	変態	@yudu_sweet 色んな意味でかわいいし、天使。 コス写を定期的にあげてくれると、喜びます(変態かよ) いや、これこそ勝手に思ってるけど、同志だよね？？？
961230333331914752	変態	@Kary_Karse それがあるなら！もっと！変態のシャルティアいれてほしかった！！！！(ﾊﾞﾝﾊﾞﾝ!
961230330475655168	変態	【紹介bot】 @7is5 下痢。ハンネがコロコロ変わり、下ネタ炸裂する変態だけど面白いから是非フォローを＼( 'ω')／
961230309994913792	変態	@soko_game ぼく変態として名を轟かせちゃう／(^o^)＼ｗｗｗ
961230302751289344	変態	@apple_teacher ツイートをチラッと見てきましたが、裏であんなヤバイDM送ってるようには見えなかった😅闇😟あたしみたく、リプもDMも現場でも等しく変態厄介がイイよね！(いくない
961230300150837248	変態	@frI__u Twitter始めてから変態になった
961230299299397632	変態	@rosen_RYu 変態図鑑にいっつも入れられてるんですけど！！！ どうして！？💋
961230286959738881	変態	everyone is a Hentai 曲名に変化が！！😂 みーんな変態！！ たぶん間違いない🤣☝️
961230279896543232	変態	@mochi_suwakana あ、俺は変態やないから☺️
961230271575031808	変態	@__syn_xx さなこの髪の毛さらぁってしたい((変態
961230267955359747	変態	水時と日付変わってから木時行ける変態いませんかー？
961230259671609345	変態	@CTP_SMonitor 沼の魔獣に入れましたが、変態が断トツに突出してて吹いたwwwwww
961230255963779077	変態	変態仮面2本めもみたいけど先に女の子の立ち絵あげてしまおうね (肉体美素晴らしいですね)
961230255301189633	変態	@zarame_xxx 陰毛変態フレンズ！
961230249433288706	変態	イメプ相手ぼしゅーちゅー イメプでしかできないようなのが好きな方ぜひ #イメプ #変態 #拘束
961230241699016704	変態	@sakuPANDA4649 変態だとしてももうちょっとかっこいい人でいたいよ！！私！！！！！ かっこいいに戻して！！！！戻して！！！ww
961230235701145602	変態	@19344Berlin @kuppitorabo 変態若頭と握手済 💕
961230233322926080	変態	@pmkn_abc3 変態ちゃいますのん😌w？ まだまだ大腿四頭筋は小さいので鍛え甲斐があります😳
961230211869065216	変態	@RABU_kumojiro え こっちも全裸待機しとく！（ただの変態） アイコン見るたび興奮するからしばらくは無理w
961230194877984777	変態	赤「テツヤ、まじめに聞いていいか?」黒「はい。なんですか?」赤「女子の胸はA派か?それともほどよいDあたりか?まさかG!?ひい、テツヤの変態!!ちなみに僕はAだ。貧乳ばんざい!!ｶｯ」黒「そういう話は青峰くんとしてください!!!」
961230192973774849	変態	@A_su_ne_ko_ 自分を入れないで上から2番目だった 自分入れたら抹茶さんが変態
961230181699497986	変態	@uratasama_kari 是非！！したいです！！ させてください！！(変態)←
961230176959909888	変態	@rinon_alst それあるかもしれないww のんちゃんみたいな 変態仕様が増えちゃうから(°д° )笑
961230173252157440	変態	@uzo0muzo0uzo 愛情が深いうえに変態😂😂🙏🙏
961230170383200257	変態	※ＩＷＧＰ(メガネどぶねずみ、残飯めがね)  この変態キモリスナー三人がこのスレを滅茶苦茶にした。  許すな！ ※５ちゃんねるでは、こんな書き込みばかりあるんだ！
961230170148323328	変態	男子しんどい笑笑 変態ばっかやん笑 目の前で服脱ぐな笑
961230159293554688	変態	@d2winger もはや、兄は最近ただただ変態ですねw
961230148988059649	変態	@MK52244289 つんさん変態やから変態絡みしたらばり喜ぶよ爆笑🤣
961230136929472515	変態	@_____Alancha08 変態じゃねえから(;´༎ຶ۝༎ຶ`)
961222301239861248	fuck	#予測変換でドレミの歌歌ってみる ドは°のド レはレイヤーのレ ミはミンユンギのミ ファはfuck youのファ ソは雑巾のソ ラは乱視のラ シはジョンヒョンのシ カオス！！！！！！
961220582774792193	fuck	有名な人も有名じゃない人もそうだけど、結局ローカルから時代をfuckすれば自ずと世界になる。
961220582044925953	fuck	@RacerNaoto Fuck Kool Yakara Monkeyってたんさんが
961220524612308992	fuck	@Ootaku1009 FUCK❤ でも可愛いから許す。
961220515498049536	fuck	今日のサイクリング中にスマホを落とし、ヒビが入った。 ガラスフィルム割れたのかな？と思いめくってみると本体にヒビが。 ガラスフィルム意味無いやんけ FUCK
961219925510471680	fuck	@zakomoyashi fuckって「フック」って読むのかな？ とりあえず言っとけばいいや。
961219113304571904	fuck	わしの見た目はFunny Fat Fuckです(՞ةڼ◔)
961218688593481728	fuck	泌尿器科行くわ！ ちんちん治らない！ ググったらそれっぽい症例有ったし自然には治らんて！ んもー！これじゃーセクロス出来ないじゃないっすかー！ ソロプレイにしかその棒は使わんじゃろてwwwwwガハハそうやったわwwwww fuck
961218063839371264	fuck	@mainosuke5000 fuckとか。きつねさん。とか。😇🤣🤣🤣
961217789502484482	fuck	リピートアフタミー「FUCK YOU」「FUCK YOU」
961217725166116864	fuck	プリクラのラクガキに「FUCK」とか書いちゃう女ってブスばっかりだし 自分の都合が悪くなったらすぐに泣いて済まそうとするイメージ(根拠ゼロ)
961154176578301953	ふぁっく	わたしがポテト食べたい時に限ってさあ！！！！ナゲットのクーポンなんだよね！！！ふぁっく！！！！
961152434981785600	ふぁっく	@kj_____kj8 あるふぁっく？？
961150409900371968	ふぁっく	@graburu330 兎でても金箱落ちねないからな。。。人参集めまじふぁっく
961148225733513216	ふぁっく	え。。。なになにさんとなになにさんがフォローしてますでなんでお前が出る消えろクズ女。目障りふぁっく
961147492841730049	ふぁっく	試験中腹痛いなーと思ってトイレ行ったら生理。ふぁっく
961145480079126528	ふぁっく	語学留学で１ヶ月いませんとかわかってるなら帰ってきてからバイトしろよふぁっく！！！
961145186364600321	ふぁっく	@yuzuki_clash ホモインキャキッズふぁっく💩
961141196822401025	ふぁっく	@Hanne_0x0_ 激おこだわふぁっく
961140900578643968	ふぁっく	GK黒いるのになんで黒のGK出るの ふぁっく
961138877124825088	ふぁっく	@sk_negi_h8 わかる！！！ まじふぁっく💕
961137365547999233	ふぁっく	ふぁっく！なんでネルギガンテの空中叩きつけよけれねぇんだよ！？
961132044775456768	ふぁっく	バックアップ取ったはずの復元消えてるし。ふぁっく
961130747716427776	ふぁっく	口からぽろっと「あなるふぁっく」とかでちゃう
961130313782095873	ふぁっく	せっかくやる事終わらせてモンハンやろうと思ったのにふぁっく。システムの復元で年末くらいのとこにまで戻すか…
961129331694145537	ふぁっく	くそ。あんたが好きだったからだよ。ふぁっく。帰ってきた目的はしらない。しりたくもない。でも悪態ついてばっかなあたしに会いに来たわけじゃないってのは薄々気づいてるから、もうこれ以降あんたには絶対絡んだりしないから。（ Ａ・ストッキング ）
961127715641446402	ふぁっく	委託先の管理全部わたしに押し付けやがった工場長まじふぁっく！！！！！管理表終わらないわ！！！残業必至ですって言ったらそれまでに終わらせるように、とかお前がやれよこのやろう！！まじ給料日あげろや！！！
961126405877784577	ふぁっく	笑うんだけど テオ行ってて足ひきずって巣まで帰った後 あ、これは余裕でクリアだなーって思ってたら 俺以外の3人がスーパーノヴァで消し炭になって終わったんだけどw ふぁっく
961126001366523905	ふぁっく	いやぁぁぁぁあぁぁ 今週は仕事がいそがしすぎるぅぅ 全然荒野に行けないー(_・ω・)_ﾊﾞｧﾝ… して今週は夜勤のみふぁっく！ フレとも時間があわないぃー
961125874836889601	ふぁっく	おうどんとか食べたいけど 店がない どふぁっく
961124699450339328	ふぁっく	いっかいまわしたらてぃーぴーじーあたったふぁっく
961123515738087425	ふぁっく	昨日からやたらピザが食べたいな･･･配達地域じゃないのにＣＭやってるピザ屋のＣＭがマジでふぁっく(´・ω・｀)
961123072643403777	ふぁっく	明日もお休みなったわ、雪ふぁっく、そろそろ給料心配なってくるやん、
961119419899531265	ふぁっく	席空いてんのになんで待たなきゃいけねぇんだよ、 とか言ってくるバイトしたこともないガキはおうちで寝てろふぁっく。
961110553287675904	ふぁっく	今日こそ早く寝ようと思ったのに、いつの間にか二時半じゃないか！ふぁっく！
961107297652101120	ふぁっく	裏切られる辛さ知ってるくせに 何度も裏切るやつはマジ最低ふぁっく
961105341781106688	ふぁっく	てんさい　じゃなくてもいいよ しゅうさい　じゃなくてもいいよ ふつうのことが　ふつうにできる それでいいよ こまったなぁ おちが　おもいつかないよ あなるふぁっく みつを
961104405478150144	ふぁっく	電車来ねえなーこねえなーって思ってたら、違う線経由の時刻表みてた。のりたい線は20分待ちだった。ふぁっく
961104076808351750	ふぁっく	昨日の夕方と夜何かを口にした直後にお腹くだしちゃって、症状が夏に腸炎になった時と似てたから、なってたらどーしよ！って旦那さんに言うと「最近便秘ひどい言うてたから出てよかったやん！」って笑顔で言われて、ふぁっく😊ってなったな。結局今全然大丈夫やけどなんやったんやろ🙄
961103390670508032	ふぁっく	御社からデータ入稿もらえなくてさめざめの軍曹「ふぁっく」
961099418350096384	ふぁっく	やっと本気で就活始めようと思ったら学校開いてないとかクソかよ！！！！！ ふぁっく！！！ もう遊ぶし！！！！！
961092142792957952	ふぁっく	くっっっっっそ忙しいバイオテロ状態での挿管心カテCS胸刺だの無理に決まってんだろ💢💢💢💢久々にふぁっく💢💢💢💢って思いながら仕事してますくそが
961089884248248322	ふぁっく	すごい！なんか怒られはしないけど『よくわからないストレスを勝手に溜め込んで悲観してる女』みたいになってる‼‼ふぁっく👎👎👎
961089529359847424	ふぁっく	自動釣り銭機のレジが接続不良で客の金だけ吸い込んで入金金額0円とかいうガイジムーブきめていくー、機械の怖いとこだなふぁっく
961088949161746435	ふぁっく	ｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞMWAM外したｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞ ( 'ω')ふぁっく
961088922565607425	ふぁっく	@wgBYEVW3c5InicC ふぁっく
961088550241488897	ふぁっく	@8338Satoru @shihorera1 ふぁっく！
961201223952035845	ファック	あのちょっと衝撃過ぎたから聞いて欲しいんだけど、ファンタジー小説読んでたはずなのにいつの間にかSMクラブでファックする話になってた…
961200717343088640	ファック	さっき実家から突然電話が来て、え、マロンになんかあった？じいじになんかあった？ってハラハラしてたのに「今焼肉きてるｗｗｗｗええやろｗｗｗｗ」みたいなん言われてファックだった
961200453936603136	ファック	リモート用のpcがいつまでたってもWindowsアップデートおわらん。 ファック、エアロバイクのあとにやる
961200415973896192	ファック	「ミルクボーイ」が「ミクルボーイ」に見えた。すなわち朝比奈みくるショタ化。男体化は二次創作で既存だが、それをさっぱり忘れて一からショタ化みくるを考えても良いはず。元が巨乳だから巨根だな。気弱系の巨根ショタ。尻穴ファックされると「ふぇぇ、おっお尻ぃっ気持ちぃですぅ」と泣く感じ、と。
961200131730124800	ファック	音の粒を揃える練習と、リズムキープの練習と左手の運指練習を同時に進行してるから全部中途半端アンド左肩クソ痛ファック
961199986682638337	ファック	セックスしながら友だちでありつづけることはできるか？それは可能だと思いますよ。「友だちは友だち、ファックはファック」とクールに割り切れれば、問題ないです。
961199305963917313	ファック	「このセリフだけ焼き付けろ脳裏　ファック！集まっても踊れなきゃゾンビ。放つ匂い、通りすがりのヤツ巻き込み踊り、夢か現か、まるでパプリカ、誰が正気？深夜のフライト乗り込む飛行機」 Freestyle
961199127311794176	ファック	@Quelanair 等価じゃないから205,000円。 東京ファック
961198946675666944	ファック	最近弟がずっと友達と通話しながら荒野行動？してるから早めに死ね以外の感想が浮かばない　声キモいくせに居間の炬燵で通話するんじゃねーよファック
961197599842648064	ファック	@srmf_0413 @Karatino_0928 ファック俺は部室に教科書るいがほとんどあるので、明日取りに行かんといけん‥
961196802396471296	ファック	膝プロテクター買っとけば防げたと思うとファック案件
961196706124582912	ファック	Twitterのバグか知らんけど一回見た通知が3回ぐらいきてる。控えめにファック。
961196409792770048	ファック	@moriryo_1098 @noza_jykmn ファック！
961196370362212352	ファック	@unajyuu810 金月2でしたファック
961195911463419905	ファック	ファックな出来事発生！！ 痩せたなおもたらまさかの太ってた。。。 明日は撮影やのに(＞人＜;)
961195350630350850	ファック	電車乗れね。中央線死ね。あと三鷹駅の女のJR社員、嘘ばっかつくんじゃね。バスも乗れね。歩いて東伏見かよ。おまえらだけホカホカだな。ファック。 #中央線 #三鷹駅
961195010610708481	ファック	ファック！ファック！処理が間に合わねぇ！
961194715445051392	ファック	@juuuun8888 おい！お前ズッチーぞォ！俺に言わんと買いやがって！しかも赤‼️ファック‼️
961194562315104262	ファック	ワン　ツー　ファック　ユー！ #thebliki
961194504437997568	ファック	ロイヤルバースト作るまでぬ雌火竜の上棘何本抜けばいいんだ…もう10体近くファックしてる
961194087440293889	ファック	携帯ファック。勝手に電源落ちててつけたら充電MAXってムカつくなぁ。(松永)
961193677145088001	ファック	#みんな自分の名前パワーダウンしたら むよまファック
961193653870903297	ファック	レイチェルは10中ファック白だな。間抜けすぎる。あと発言内容も受け答えも素直で思ったことをその場その場で言っている。馬鹿だから。 #shinmon_bot
961192974431395840	ファック	制作発表会見ようとしたら時間ピッタリで風呂 ファック
961192811583365120	ファック	今、取引先の担当からメールで「まずは取り急ぎファックさせていただきます」という丁寧な犯行予告が届いた。 ma_ru_kin
961192533555527680	ファック	電撃FCの定着せずに消えていった略称を思い出すと目頭が熱くなる 電マとか電撃ファックとか
961192341158617089	ファック	@KuU11_77 はーーーそいつファックですねーーｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ ほんこれまで文句言ってきた奴ら全員に整形後会いに行きたいです！！！！
961191549345255427	ファック	今、取引先の担当からメールで「まずは取り急ぎファックさせていただきます」という丁寧な犯行予告が届いた。
961191354779893760	ファック	@okatan_inc ファックだね、、
961190982585733120	ファック	控えめに言ってファックしたいでしょ（お付き合いしたいとは言ってない）
961190215552413698	ファック	しもねたしかこねーじゃねーかファック！！！
961190104487243776	ファック	コンプだとチキビがせいぜいくらいだったけど、実際赤いのだとデスドのサヨナラ＆ファックがそのまま出そうでコワイ #njslyr
961222699912593410	キチ	@Makichopripara ほのキチやぞ(ﾆｯｺﾘ)
961222605272317952	キチ	ナイトロックスは悪魔で210cm 擬人化して208cm あんま変わらない巨人優キチ男
961222583218683904	キチ	@Lebith_kmm そもそもなんで拷問+アイスなんてキチじみたテーマになったところからかなぁ・・・（遠い目）
961222542936584193	キチ	いい歳して猫2世で「Σこにょぶれいもにょー！」しているし気にしてない(「サクチキ下さい！」を「サクキチ下さい！」したり今日は「ななチキ(買おうとしたのはサクチキ)下さい！」した奴)
961222538801029120	キチ	#アットマーク打って最初に出てくる8人をあえて名前を言わずに特徴を言う @歌も上手な神絵師様 @○○○○草 @ハンドメイドすごい人 @マカロン @クトゥルフ @唯一キチガイ検索できたリスナー様 @ポン酢兄貴 @副キチ猫 あ、文字数の関係上特徴というより印象を一言で…w
961222363751727104	キチ	@sirokuromus ぶっ飛んでる人ですけど すごいネットの知識があるみたいな人で アカウントすごい沢山もってる人だったんですよね キチ○イに包丁って言葉がありますが そんな気もします(^_^;)
961222219371241473	キチ	@pmpm333_k エロティックですよね、、（笑）🤭💞 エビキチの皆さんはもはや親族。。 産まれたら👶🏻抱っこしてあげてください〜💞
961222218729496577	キチ	@nekonose_hajime ちなみに 山田さんはパイキチでうなじや肩のラインが好き。 田中さんは下半身フェチで太もものむちむち感や尻の艶やかさが好み。 佐藤さんは臍の蠱惑的な魅惑や背中やお腹のラインが好きな方です。 ＡＤ山崎君は全体の補佐を回るタイプの方です。
961222208776421376	キチ	@_maru____maru_ 俺も知り合いは少ないけどTwitterにカリキチが多すぎてカリキチの愛が溢れてる
961222049506062336	キチ	@yokoku2224 元々似てるとこあるのに、さらに似てきちゃうのいいですよね……🙏 同窓会で、でんぴに「おまえ、あいざわ先生に似てきたな？」って言われちゃうカツキチ…… あ、すみません〜🙇ヤキモチいいですよね…🙏
961222029570551813	キチ	智恵さん @cherryno45 お誕生日おめでとうございます(*^-^*) キチちゃんオチャちゃんと共に、今年も楽しく明るい日々でありますように(*^-^*)
961221920891969537	キチ	ヤムチャ『さっきから外で変な女がギャーギャー喚いてんだよな。キチ○イか？うるせーんだよ本当ｗｗｗ ちょっと文句言ってくるわｗｗｗ』 ヤムチャ『a』 ヤムチャ『うそうそ。さっき書いたことは全部嘘です(笑)心配かけてごめんなさい。皆さん早く寝ましょう。』
961221735906394113	キチ	喀血、キチ顔、ギザ歯、双子、多重人格も大好きで候
961221593878769664	キチ	[壁|･д･)＜あの〜…ひっそり定期なんですけどぉ〜…ひっそりひっそり…マジキチ同盟…募集してたり…←あ、マジキチって言ってもぉ〜…騒ぐ時には騒ぎまくるって言う…マナーを守ったマジキチ……そこのあなたもマジキチ同盟に…Rock you…します...?←
961221173328601088	キチ	@negurameru こじらせた手に負えない末期のみゆキチだとしてもアイコンやらなんやら描いてもらってる僕からしたら神絵描きなんだよなぁ…
961221008098127872	キチ	@rr_O14 キチすぎｗｗｗｗｗwwwww
961220831606063104	キチ	@mizuki_saigo ちゃんと社会人なのかぁ…頑張って👍と伝えて〜〜。社会という荒波キチスギてもう嫌になる〜〜
961220763062693890	キチ	オーバーロード１期から見返してるけどやっぱクレマンティーヌ様ええなぁ… 碧ちゃんのキチ声ホント好きですわぁ…
961220690643861505	キチ	@riddlearia346 おし、んじゃうるさくキチ通話トゥーンするか、それとも静かぁぁーにあさりトゥーンするかどーっちだ٩(ˊᗜˋ*)و
961220683404476416	キチ	【桃子】あなたらぶぅ派だしょ？？あたしべりたん派(╭☞´ิ∀´ิ)╭☞相思相愛だねっ！！！離れててもキチりまとう(　´,_ゝ`)
961220503670218752	キチ	@tsubasa2830711 キチ猫ってあれやねん、グループ名やねん((( 最近猫の集会してないなぁ( ˇωˇ ) メンタルは強い弱い以前に、折れることがないね(๑° ꒳ °๑) 女性と思われてたんだ、嬉しい(๑° ꒳ °๑)www
961220105848832007	キチ	[定期]ふくはら☆ふくはらは96断トツのずば抜けてぴょんてなびゅり。ｦｦあなたを越すぴょんてさんは現れませんwwふくはらは同じ地方組やねー(T^T)宮城だから１番遠い(泣)でも絶対会うんだもんね！約束だもんね！ぴょんてキチふくはらさらげ(／▽＼)♪96＝家族＝酸素
961219705242447872	キチ	@4_64_256_ ってか休みたくて冬休み終わってからだいたいマスクしてなかったマン。 しかも今ひくと誕生日かぶるとかいうキチ
961219628667043840	キチ	【修羅場キチ】義弟嫁『これ（入園道具一式）お願いします。9日に入園式ですので！』私「！？」義弟
961219576854802432	キチ	@tiatia_bless めでたいね！ キチギルドだからねw
961219429668331520	キチ	何が来ようと一番最初はキチメガって決めてるし新しいゲーム知ったところで揺るがないんだからすごい
961219419828502528	キチ	キチガイ？┗(^ω^ )┛キチキチ！┗( ^ω^)┛ガイガイガイ┗(^ω^ )┛キチガイガイキチ┏(^ω^ )┓キチッガーイ┏(^ω^ )┓キチッキチガイ？┗(^ω^ )┛キチキチ！┗( ^ω^)┛ガイガイガイ┗(^ω^ )┛キチガイガイキチ┏(^ω^ )
961219397296640001	キチ	アインキチを的確に殺しにきてるド変態野郎だ、犯して（エルスを）
961219239200702464	キチ	あまつさえ調味料の海に沈めて悶え苦しんでるカニを見て「かわいいねぇ～　1匹飼う？」とか聞いてくるの一般的に見たら多分割とキチってるのではないか
961219179754868737	キチ	ぽ〇んずとかいうキチガ〇イTwitterで既にエンジンかかってるし今日もやばそう
961219134779416576	キチ	かといってハードオフ行くのをやめてメルカリとかでの買い物だけをするとそれはそれでキチな方に当たることもあるのでどちらも一長一短。世知辛いネ
961218987244666880	キチ	@megastoi ガンキチて誰やねん？
961218469789233152	キチ	死んだゲリョスみたいな目で「ずほキチとズリキチ、平仮名たった1文字の違いであるが、両者には大きな壁がある…」とか考えながら仕事やってきましたよただいま
961218450168401920	キチ	@Logres_kuro777 名前 キチ猫さん 呼び名 キチ猫さん 裏でやってそうな事 夜な夜な猫達の集会にしれっと出席してそう メンタル強そう？ 少なくともボクよりかは… 家族にするなら？ お姉さん…かな？(性別がわからない…) 正体 猫…？
961218191962783744	キチ	13連勤目の今日は釣り竿担いで釣りキチ三平
961218104477982720	キチ	@kutiku_hibiki おっしっかりキチってるな！！！！！！感心感心！！！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
961217942535815168	キチ	@k___se___0101 想像をはるかにキチってるてなにwwww それ思った早く教えたいからDMおいでwww それな！！ なんか毎日毎日LINEとかリプしてたけどこのタブレット使いにくくて通知がうまく来ないから返しにくくて一時放置してた( ；o；)
961217802592899074	キチ	@rts__77xxx 流行りに乗っかれてる🍫💓 わたしもえぬこちゃんの万紬めちゃくちゃ楽しみにしてる！！万里はやっぱりあの方！？😳 1日3着ぶん回すキチスケジュール😂頑張る🔥
961217627434594306	キチ	@Naoch1 私、なおちさんのRTで見て笑ってますw フォローしよっかなw キチ貝は問題になりそうやけどいけるんやろうか…？
961217481334448129	キチ	【仲良し定期】りんりん♡思いやりがあって人の為に行動したり共に喜怒哀楽出来る優しい子！╰(*´︶`*)╯♡その優しさと賢さにいつも感心したり助けられてるぞ！ありがとー✧*ヾ(｡>ω<｡)ﾉﾞそしてそろそろキチって認めろ♡これからも仲良くしてね！！！かわいい妹ちゃんへ(^з^)-☆
961217415173451776	キチ	@guruado キチ過ぎてブロックした。
961217357250052098	キチ	初めまして。私はキチマックス。あなたとヌベヂョンヌゾジョンベルミッティスモゲロンボョｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ 　　 　(　՞ةڼ◔) 　　 　/　　　ヽ 　　　|　|　　 | | 　　　|　|　　 | |
961217331677380608	キチ	こういう例え話が非常にわかりやすくてストンと腑に落ちるんだよな。キチキチの分刻みスケジュールで生きる生活なんかごめんだわ。 　　　〃∩ 　　∧＿∧ 　　　⊂⌒（ 　・ω・） 　　　　 ｀ヽ_っ⌒/⌒ｃ 　　　　　　　 ⌒ ⌒
961217249968205826	キチ	ママレードボーイ (甘くて苦い) くまのパディントン (ママレードを持ち歩くキチ熊) 完全に一致
961217002596478977	キチ	泣くな、ふぁるキチ．．． こっちまで泣きたくなるだろ．．．
961201294139469824	基地外	恒心教は単なる殺害予告を神聖六文字と言い張り書き込みを繰り返す（でも未遂すらナシ）基地外集団　#恒心版深夜のお絵描き60分ガチの一本勝負
961200545057746944	基地外	竜「ゴミ捨て場にゴミ捨てる時に、誰もいなかったので「ばっちいの、ぽいっ！」とか言いながら捨てたら、後ろに一茶が立ってた。あれは間違いなく基地外を見る目だった」
961200472458633217	基地外	【みうおんに】可愛い。可愛すぎなのに基地外なのがまた可愛い。きちんとプリクラ保存しましたごっつぁんです(⌒▽⌒)更毛更毛♡
